,DPTO,NOMDPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,2001,Comuna 01,223620,225878,228137,230395,232654,234912,237171,239429,241688,243946,241711,239446,237182,234945,232752,230647,228649,226784,225064,223509,222147,221001,220077,219380,218916
1,2002,Comuna 02,138156,139551,140947,142342,143737,145133,146528,147923,149319,150714,151727,152769,153847,154910,155952,156936,157856,158668,159365,159940,160364,160609,160673,160551,160235
2,2003,Comuna 03,175381,177153,178924,180695,182467,184238,186009,187780,189552,191323,191533,191745,191956,192162,192364,192560,192748,192928,193096,193255,193403,193537,193657,193764,193857
3,2004,Comuna 04,215358,217533,219708,221883,224058,226233,228408,230583,232758,234933,234161,233376,232590,231813,231054,230324,229632,228989,228397,227866,227405,227024,226721,226504,226371
4,2005,Comuna 05,169861,171577,173292,175008,176723,178439,180154,181870,183585,185301,185996,186696,187397,188089,188764,189417,190034,190615,191156,191642,192077,192449,192755,192995,193172
5,2006,Comuna 06,167794,169489,171183,172878,174573,176267,177962,179657,181351,183046,184859,186701,188542,190349,192129,193839,195460,196984,198391,199667,200798,201764,202557,203170,203612
6,2007,Comuna 07,217104,219297,221489,223682,225875,228067,230260,232453,234645,236838,234527,232191,229847,227532,225268,223091,221032,219111,217354,215773,214402,213262,212364,211718,211328
7,6007,Adolfo Alsina,16245,16354,16462,16571,16679,16788,16896,17005,17113,17222,17232,17243,17253,17264,17274,17284,17294,17305,17314,17324,17334,17344,17353,17362,17371
8,10007,Ambato,4525,4533,4541,4550,4558,4566,4574,4583,4591,4599,4633,4680,4726,4773,4808,4854,4901,4935,4970,5005,5052,5087,5133,5168,5203
9,14007,Calamuchita,45418,46514,47610,48705,49801,50897,51993,53088,54184,55280,56810,58369,59959,61578,63223,64896,66596,68322,70072,71845,73642,75462,77303,79164,81044
10,18007,Bella Vista,35350,35660,35970,36280,36590,36901,37211,37521,37831,38141,38678,39218,39755,40295,40828,41357,41882,42402,42909,43409,43895,44369,44830,45280,45711
11,22007,Almirante Brown,29086,29716,30346,30977,31607,32237,32867,33498,34128,34758,35017,35277,35537,35797,36056,36314,36569,36822,37072,37317,37557,37794,38025,38251,38472
12,26007,Biedma,58677,61397,64118,66838,69558,72279,74999,77719,80440,83160,84661,86181,87728,89302,90901,92527,94180,95857,97558,99284,101032,102806,104601,106419,108258
13,34007,Bermejo,12710,12922,13133,13345,13556,13768,13979,14191,14402,14614,14701,14788,14875,14961,15045,15130,15212,15294,15374,15451,15527,15600,15671,15739,15804
14,38007,Cochinoca,12111,12196,12280,12365,12450,12534,12619,12704,12788,12873,13083,13292,13493,13688,13881,14064,14241,14411,14570,14722,14864,14998,15121,15234,15340
15,42007,Atreuco,10134,10168,10201,10235,10268,10302,10335,10369,10402,10436,10540,10637,10725,10801,10868,10927,10977,11011,11040,11057,11061,11053,11036,11006,10969
16,46007,Arauco,13720,13955,14190,14425,14660,14895,15130,15365,15600,15835,15868,15902,15936,15971,16005,16040,16076,16111,16146,16181,16216,16251,16285,16319,16352
17,50007,Capital,110993,111742,112490,113239,113987,114736,115484,116233,116981,117730,118258,118781,119299,119816,120325,120829,121329,121821,122306,122782,123251,123715,124169,124616,125054
18,54007,Apóstoles,38028,38550,39071,39593,40114,40636,41157,41679,42200,42722,43411,44094,44772,45442,46105,46760,47407,48046,48676,49295,49904,50503,51090,51666,52231
19,58007,Aluminé,6308,6561,6813,7066,7319,7571,7824,8077,8329,8582,8704,8827,8953,9081,9211,9342,9476,9612,9749,9888,10030,10173,10318,10465,10614
20,62007,Adolfo Alsina,50701,51578,52455,53332,54209,55086,55963,56840,57717,58594,59047,59500,59951,60398,60843,61284,61723,62156,62585,63010,63430,63845,64255,64659,65059
21,66007,Anta,49841,50809,51778,52746,53714,54683,55651,56619,57588,58556,59494,60431,61364,62293,63214,64129,65039,65941,66832,67714,68583,69442,70291,71126,71948
22,70007,Albardón,20413,20852,21291,21729,22168,22607,23046,23484,23923,24362,24946,25530,26115,26699,27281,27862,28441,29019,29591,30159,30720,31281,31835,32382,32924
23,74007,Ayacucho,16906,17207,17508,17808,18109,18410,18711,19011,19312,19613,19952,20294,20635,20975,21315,21652,21991,22328,22662,22994,23324,23653,23977,24299,24615
24,78007,Corpen Aike,7942,8299,8656,9012,9369,9726,10083,10439,10796,11153,11473,11795,12118,12441,12765,13088,13413,13736,14061,14384,14709,15035,15360,15685,16009
25,82007,Belgrano,41449,41912,42376,42839,43302,43766,44229,44692,45156,45619,45853,46091,46332,46575,46819,47065,47311,47558,47805,48052,48298,48544,48788,49032,49274
26,86007,Aguirre,7035,7104,7173,7243,7312,7381,7450,7520,7589,7658,7762,7867,7974,8084,8193,8303,8412,8522,8633,8742,8852,8959,9065,9171,9274
27,90007,Burruyacú,32936,33495,34054,34612,35171,35730,36289,36847,37406,37965,38598,39233,39869,40504,41136,41766,42394,43019,43638,44251,44858,45459,46052,46639,47217
28,94007,Río Grande,55131,57060,58989,60918,62847,64775,66704,68633,70562,72491,74634,76793,78964,81147,83340,85542,87753,89971,92197,94431,96670,98922,101181,103448,105720
29,2008,Comuna 08,201337,203370,205404,207437,209471,211504,213538,215571,217605,219638,218094,216519,214941,213377,211851,210383,208999,207716,206546,205503,204611,203888,203338,202970,202784
30,30008,Colón,52718,53853,54987,56122,57256,58391,59525,60660,61794,62929,63860,64802,65758,66727,67709,68703,69709,70726,71753,72790,73836,74890,75952,77021,78097
31,2009,Comuna 09,154626,156188,157749,159311,160873,162434,163996,165558,167119,168681,168606,168530,168455,168380,168308,168238,168171,168108,168050,167996,167949,167908,167872,167844,167822
32,2010,Comuna 10,155259,156827,158396,159964,161532,163100,164668,166236,167804,169372,169617,169862,170110,170353,170590,170820,171038,171243,171432,171606,171762,171896,172007,172095,172163
33,2011,Comuna 11,173949,175705,177462,179219,180976,182733,184490,186246,188003,189760,190893,191994,193031,194067,195103,196107,197079,198050,199022,199994,200933,201905,202876,203848,204819
34,2012,Comuna 12,193712,195669,197625,199581,201538,203494,205451,207407,209364,211320,213675,216055,218448,220803,223115,225339,227440,229398,231194,232803,234201,235364,236271,236936,237327
35,2013,Comuna 13,215278,217452,219626,221801,223975,226149,228323,230498,232672,234846,237482,240151,242771,245392,247948,250393,252758,254995,257088,259006,260764,262330,263672,264838,265765
36,2014,Comuna 14,207617,209714,211811,213908,216005,218102,220198,222295,224392,226489,228451,230385,232262,234140,235931,237723,239430,241108,242729,244293,245801,247252,248645,249982,251262
37,6014,Adolfo Gonzáles Chaves,12037,12052,12066,12081,12095,12110,12124,12139,12153,12168,12228,12289,12347,12408,12466,12522,12578,12634,12690,12742,12795,12847,12898,12952,13001
38,10014,Ancasti,3082,3074,3066,3058,3050,3043,3035,3027,3019,3011,3035,3059,3083,3102,3127,3151,3173,3194,3216,3240,3260,3282,3303,3323,3342
39,14014,Capital,1284582,1294138,1303694,1313250,1322806,1332361,1341917,1351473,1361029,1370585,1382290,1393895,1405368,1416667,1427737,1438551,1449166,1459568,1469669,1479475,1488937,1498060,1506805,1515305,1523537
40,18014,Berón de Astrada,2294,2319,2345,2370,2396,2421,2447,2472,2498,2523,2547,2572,2596,2621,2646,2670,2694,2718,2741,2764,2786,2808,2829,2849,2869
41,22014,Bermejo,24215,24377,24539,24701,24863,25025,25187,25349,25511,25673,25875,26081,26285,26489,26693,26896,27097,27295,27491,27684,27874,28060,28242,28419,28593
42,26014,Cushamen,17134,17577,18019,18462,18905,19347,19790,20233,20675,21118,21774,22415,23039,23662,24265,24847,25416,25981,26534,27074,27592,28099,28588,29079,29541
43,34014,Formosa,210071,213802,217533,221263,224994,228725,232456,236186,239917,243648,245859,248061,250249,252419,254563,256681,258775,260837,262852,264811,266719,268572,270361,272086,273739
44,38014,El Carmen,84667,86189,87710,89232,90753,92275,93796,95318,96839,98361,100312,102274,104249,106237,108232,110234,112241,114250,116258,118263,120263,122259,124247,126227,128192
45,42014,Caleu Caleu,2075,2107,2140,2172,2205,2237,2270,2302,2335,2367,2387,2407,2427,2448,2468,2488,2509,2529,2550,2570,2591,2611,2631,2651,2671
46,46014,Capital,146411,150763,155115,159467,163819,168171,172523,176875,181227,185579,187585,189616,191673,193746,195837,197937,200042,202149,204257,206350,208437,210507,212554,214579,216576
47,50014,General Alvear,44147,44515,44882,45250,45618,45985,46353,46721,47088,47456,47888,48321,48749,49173,49593,50007,50417,50821,51221,51614,52000,52379,52754,53118,53477
48,54014,Cainguás,47271,48017,48764,49510,50257,51003,51750,52496,53243,53989,54510,55027,55540,56047,56548,57043,57534,58017,58494,58962,59422,59875,60321,60756,61184
49,58014,Añelo,7554,7950,8347,8743,9139,9536,9932,10328,10725,11121,11621,12136,12666,13213,13773,14349,14942,15551,16175,16816,17474,18150,18843,19553,20282
50,62014,Avellaneda,32308,32705,33102,33499,33896,34294,34691,35088,35485,35882,36339,36793,37246,37697,38143,38587,39027,39463,39894,40321,40743,41160,41572,41979,42381
51,66014,Cachi,7280,7303,7326,7349,7372,7395,7418,7441,7464,7487,7612,7730,7855,7980,8098,8223,8342,8467,8579,8704,8816,8928,9046,9151,9256
52,70014,Angaco,7570,7652,7734,7817,7899,7981,8063,8146,8228,8310,8466,8625,8781,8938,9095,9251,9406,9561,9716,9869,10020,10172,10319,10467,10613
53,74014,Belgrano,3881,3906,3931,3955,3980,4005,4030,4054,4079,4104,4228,4353,4478,4603,4721,4846,4971,5089,5214,5332,5450,5575,5692,5810,5928
54,78014,Deseado,72953,76865,80776,84688,88599,92511,96422,100334,104245,108157,109654,111157,112663,114171,115678,117187,118698,120211,121724,123236,124749,126266,127781,129299,130817
55,82014,Caseros,79096,79616,80136,80657,81177,81697,82217,82738,83258,83778,83988,84201,84415,84630,84843,85055,85264,85471,85675,85874,86070,86261,86447,86628,86805
56,86014,Alberdi,15617,15809,16001,16192,16384,16576,16768,16959,17151,17343,17565,17789,18017,18246,18477,18710,18944,19178,19412,19644,19875,20104,20331,20554,20773
57,90014,Cruz Alta,162240,164815,167390,169964,172539,175114,177689,180263,182838,185413,188987,192570,196156,199736,203306,206861,210403,213923,217417,220875,224298,227688,231038,234344,237606
58,94014,Ushuaia,45785,47248,48712,50175,51639,53102,54566,56029,57493,58956,54661,50338,45991,41618,37228,32821,28392,23947,19487,15020,10534,6027,1502,-3036,-7585
59,2015,Comuna 15,167086,168774,170461,172149,173836,175524,177211,178899,180586,182274,183449,184569,185689,186753,187761,188769,189833,190841,191849,192969,194089,195265,196496,197784,199072
60,30015,Concordia,157291,158999,160706,162414,164122,165829,167537,169245,170952,172660,174950,176680,178807,180935,183058,185176,187288,189387,191472,193537,195581,197603,199599,201567,203503
61,6021,Alberti,10373,10414,10456,10497,10539,10580,10622,10663,10705,10746,10943,11134,11317,11507,11690,11873,12049,12225,12400,12569,12737,12906,13074,13228,13389
62,10021,Andalgalá,17102,17273,17443,17614,17784,17955,18125,18296,18466,18637,18715,18794,18872,18949,19026,19103,19179,19255,19329,19402,19474,19545,19614,19682,19747
63,14021,Colón,171067,177430,183793,190155,196518,202881,209244,215606,221969,228332,233279,238334,243496,248760,254138,259639,265222,270878,276642,282492,288451,294511,300669,306851,313055
64,18021,Capital,328868,333105,337342,341579,345816,350054,354291,358528,362765,367002,373079,379174,385261,391339,397373,403376,409314,415180,420945,426580,432078,437446,442662,447715,452617
65,22021,Comandante Fernández,88164,89378,90593,91807,93022,94236,95451,96665,97880,99094,99263,99434,99605,99775,99945,100114,100282,100448,100612,100773,100931,101086,101237,101386,101531
66,26021,Escalante,143689,148603,153517,158432,163346,168260,173174,178089,183003,187917,190199,192459,194724,196988,199245,201497,203748,205992,208212,210429,212632,214829,217011,219179,221336
67,30021,Diamante,44095,44430,44765,45101,45436,45771,46106,46442,46777,47112,47562,48013,48463,48910,49353,49791,50227,50658,51082,51499,51908,52312,52705,53090,53465
68,34021,Laishi,16227,16399,16571,16744,16916,17088,17260,17433,17605,17777,17909,18041,18173,18303,18433,18560,18686,18809,18931,19048,19163,19275,19383,19486,19585
69,38021,Dr. Manuel Belgrano,238012,241464,244916,248368,251820,255272,258724,262176,265628,269080,273318,277574,281838,286101,290351,294589,298818,303026,307201,311332,315425,319469,323470,327427,331327
70,42021,Capital,96920,98142,99363,100585,101806,103028,104249,105471,106692,107914,108857,109790,110720,111642,112550,113438,114317,115188,116044,116885,117699,118504,119293,120066,120818
71,46021,Castro Barros,4322,4333,4343,4354,4364,4375,4385,4396,4406,4417,4528,4647,4767,4887,4998,5109,5228,5339,5459,5579,5690,5810,5929,6040,6160
72,50021,Godoy Cruz,182977,184447,185917,187388,188858,190328,191798,193269,194739,196209,196063,195918,195775,195632,195492,195353,195215,195079,194945,194814,194684,194557,194431,194309,194188
73,54021,Candelaria,22290,22846,23402,23957,24513,25069,25625,26180,26736,27292,27969,28642,29308,29967,30619,31262,31900,32529,33149,33758,34356,34945,35523,36091,36647
74,58021,Catan Lil,2469,2494,2519,2544,2569,2595,2620,2645,2670,2695,2689,2684,2679,2674,2669,2664,2660,2656,2652,2648,2644,2641,2637,2634,2631
75,62021,Bariloche,109826,112661,115495,118330,121165,123999,126834,129669,132503,135338,137595,139844,142084,144311,146522,148715,150892,153048,155182,157293,159380,161443,163481,165492,167477
76,66021,Cafayate,11785,12155,12524,12894,13264,13633,14003,14373,14742,15112,15345,15578,15811,16041,16271,16499,16725,16950,17173,17391,17608,17822,18033,18241,18446
77,70021,Calingasta,8176,8245,8313,8382,8451,8519,8588,8657,8725,8794,8951,9110,9267,9424,9583,9740,9897,10052,10207,10361,10512,10667,10815,10963,11109
78,74021,Coronel Pringles,12571,13543,14515,15487,16459,17430,18402,19374,20346,21318,20872,20427,19982,19537,19095,18652,18210,17772,17334,16902,16471,16044,15618,15200,14785
79,78021,Güer Aike,92878,95228,97579,99929,102279,104630,106980,109330,111681,114031,115908,117794,119714,121651,123604,125557,127513,129471,131429,133388,135347,137309,139272,141235,143199
80,82021,Castellanos,162165,164298,166430,168563,170696,172828,174961,177094,179226,181359,182007,182664,183328,183999,184675,185355,186038,186723,187409,188094,188780,189464,190146,190827,191506
81,86021,Atamisqui,9809,9938,10068,10197,10326,10456,10585,10714,10844,10973,11286,11608,11929,12255,12583,12914,13246,13579,13909,14240,14568,14894,15215,15531,15842
82,90021,Chicligasta,75133,76010,76887,77764,78641,79518,80395,81272,82149,83026,83810,84597,85384,86171,86954,87735,88512,89285,90053,90812,91563,92308,93043,93769,94486
83,6028,Almirante Brown,515556,520164,524771,529379,533987,538594,543202,547810,552417,557025,559371,561629,564018,566380,568686,570873,573056,575148,577238,579246,581226,583209,585166,587098,589031
84,10028,Antofagasta de la Sierra,1282,1304,1325,1347,1368,1390,1411,1433,1454,1476,1505,1535,1564,1594,1623,1653,1682,1712,1740,1766,1794,1822,1848,1872,1899
85,14028,Cruz del Eje,52172,52910,53649,54387,55125,55864,56602,57340,58079,58817,59300,59787,60278,60771,61266,61763,62261,62759,63258,63756,64252,64748,65241,65732,66219
86,18028,Concepción,18411,18764,19117,19470,19823,20175,20528,20881,21234,21587,21991,22396,22801,23204,23606,24005,24399,24791,25173,25548,25913,26270,26617,26954,27279
87,22028,Chacabuco,27813,28197,28582,28966,29350,29735,30119,30503,30888,31272,31546,31822,32098,32375,32649,32922,33193,33462,33726,33986,34242,34493,34738,34977,35212
88,26028,Florentino Ameghino,1484,1502,1520,1538,1556,1575,1593,1611,1629,1647,1661,1674,1688,1702,1714,1726,1737,1747,1757,1765,1774,1782,1789,1796,1802
89,30028,Federación,60204,61252,62301,63349,64398,65446,66495,67543,68592,69640,70323,71012,71709,72414,73125,73844,74568,75299,76034,76773,77517,78264,79012,79764,80516
90,34028,Matacos,12133,12444,12755,13065,13376,13687,13998,14308,14619,14930,15114,15299,15481,15664,15844,16020,16196,16368,16537,16702,16861,17017,17166,17310,17449
91,38028,Humahuaca,16765,16865,16965,17065,17165,17265,17365,17465,17565,17665,17977,18292,18597,18893,19178,19455,19724,19980,20222,20455,20670,20877,21067,21243,21404
92,42028,Catriló,6728,6812,6895,6979,7062,7146,7229,7313,7396,7480,7547,7615,7683,7749,7812,7875,7938,7998,8057,8114,8170,8225,8278,8329,8378
93,46028,Coronel Felipe Varela,9939,9940,9940,9941,9942,9942,9943,9944,9944,9945,10061,10178,10295,10411,10528,10658,10774,10891,11008,11137,11254,11371,11487,11604,11721
94,50028,Guaymallén,251339,255569,259800,264030,268260,272491,276721,280951,285182,289412,292185,294939,297676,300387,303064,305712,308332,310919,313467,315976,318442,320871,323253,325592,327885
95,54028,Capital,284279,289152,294025,298898,303771,308643,313516,318389,323262,328135,333746,339316,344833,350293,355680,361009,366285,371501,376627,381666,386619,391498,396286,400984,405584
96,58028,Collón Curá,4395,4431,4467,4502,4538,4574,4610,4645,4681,4717,4727,4736,4746,4756,4766,4776,4785,4795,4804,4814,4823,4832,4840,4849,4858
97,62028,Conesa,6291,6389,6488,6586,6685,6783,6882,6980,7079,7177,7196,7215,7234,7253,7271,7290,7308,7327,7344,7363,7380,7398,7415,7432,7449
98,66028,Capital,472971,481181,489390,497600,505810,514019,522229,530439,538648,546858,553517,560152,566762,573342,579873,586355,592803,599192,605512,611750,617913,624003,630014,635935,641764
99,70028,Capital,112778,112691,112605,112518,112432,112345,112259,112172,112086,111999,112239,112480,112721,112961,113200,113440,113678,113916,114152,114385,114617,114849,115076,115300,115524
100,74028,Chacabuco,18410,17869,17328,16787,16246,15705,15164,14623,14082,13541,14635,15744,16824,17919,19014,20094,21175,22255,23336,24402,25469,26522,27560,28584,29609
101,78028,Lago Argentino,7500,8766,10031,11297,12563,13828,15094,16360,17625,18891,19455,20022,20572,21114,21646,22178,22712,23246,23780,24314,24849,25384,25919,26455,26992
102,82028,Constitución,83045,83665,84285,84904,85524,86144,86764,87383,88003,88623,88985,89352,89721,90091,90462,90832,91202,91569,91932,92292,92649,93000,93346,93687,94024
103,86028,Avellaneda,19348,19520,19693,19865,20037,20210,20382,20554,20727,20899,21267,21638,22014,22394,22775,23159,23546,23931,24318,24702,25084,25462,25836,26204,26566
104,90028,Famallá,30951,31454,31958,32461,32965,33468,33972,34475,34979,35482,36089,36699,37309,37917,38524,39129,39730,40329,40923,41510,42093,42669,43238,43801,44355
105,94028,Antártida Argentina,163,169,174,180,186,191,197,203,208,214,5913,12563,20162,25862,32511,39161,46761,53410,60060,65759,73359,80009,86658,94258,100907
106,6035,Avellaneda,328980,330844,332707,334571,336434,338298,340161,342025,343888,345752,347499,349218,350934,352659,354391,356116,357755,359416,361073,362733,364406,366117,367773,369422,370936
107,10035,Belén,25475,25822,26169,26516,26863,27210,27557,27904,28251,28598,28749,28900,29051,29202,29351,29499,29646,29792,29935,30077,30216,30353,30487,30617,30743
108,14035,General Roca,33323,33649,33976,34302,34628,34955,35281,35607,35934,36260,36243,36226,36209,36193,36176,36160,36143,36127,36111,36095,36079,36064,36048,36033,36018
109,18035,Curuzú Cuatiá,42075,42457,42839,43222,43604,43986,44368,44751,45133,45515,46030,46548,47063,47578,48091,48599,49103,49600,50089,50566,51033,51489,51930,52360,52775
110,26035,Futaleufú,37540,38206,38873,39539,40206,40872,41539,42205,42872,43538,44168,44787,45389,45973,46538,47084,47614,48122,48612,49082,49532,49965,50376,50770,51144
111,30035,Federal,25055,25193,25331,25469,25607,25746,25884,26022,26160,26298,26578,26858,27136,27411,27682,27948,28211,28468,28719,28966,29204,29436,29661,29879,30087
112,34035,Patiño,64830,65563,66296,67028,67761,68494,69227,69959,70692,71425,72327,73225,74119,75006,75880,76746,77602,78442,79264,80066,80844,81600,82331,83035,83711
113,38035,Ledesma,75716,76544,77372,78201,79029,79857,80685,81514,82342,83170,84199,85219,86224,87209,88173,89110,90026,90911,91767,92588,93377,94132,94850,95534,96177
114,42035,Conhelo,14591,14579,14568,14556,14545,14533,14522,14510,14499,14487,14522,14557,14602,14647,14702,14736,14789,14851,14918,14981,15025,15094,15174,15261,15351
115,46035,Chamical,13383,13514,13646,13777,13908,14040,14171,14302,14434,14565,14649,14736,14824,14913,15003,15092,15182,15273,15363,15452,15541,15630,15718,15804,15889
116,50035,Junín,35045,35446,35847,36247,36648,37049,37450,37850,38251,38652,39340,40026,40705,41379,42044,42705,43355,43997,44632,45254,45867,46472,47065,47646,48215
117,54035,Concepción,9085,9153,9221,9289,9357,9425,9493,9561,9629,9697,9751,9804,9856,9909,9961,10011,10062,10111,10161,10209,10256,10303,10349,10394,10437
118,58035,Confluencia,314793,321642,328491,335340,342189,349038,355887,362736,369585,376434,385167,393713,402058,410190,418095,425780,433250,440499,447519,454304,460864,467217,473351,479275,484983
119,62035,El Cuy,4252,4374,4496,4617,4739,4861,4983,5104,5226,5348,5488,5627,5764,5902,6038,6173,6308,6442,6573,6703,6833,6960,7085,7210,7332
120,66035,Cerrillos,26320,27436,28552,29668,30784,31899,33015,34131,35247,36363,38031,39696,41355,43004,44642,46268,47884,49488,51075,52640,54185,55713,57219,58706,60166
121,70035,Caucete,33609,34223,34837,35450,36064,36678,37292,37905,38519,39133,39545,39958,40370,40783,41193,41603,42012,42419,42823,43225,43621,44017,44407,44793,45176
122,74035,General Pedernera,110814,112873,114933,116992,119052,121111,123171,125230,127290,129349,130978,132609,134239,135866,137491,139110,140725,142334,143936,145525,147103,148671,150222,151759,153276
123,78035,Lago Buenos Aires,6223,6509,6795,7080,7366,7652,7938,8223,8509,8795,9108,9422,9738,10054,10368,10684,11001,11317,11633,11950,12266,12584,12901,13218,13535
124,82035,Garay,19913,20067,20221,20375,20529,20683,20837,20991,21145,21299,21591,21886,22184,22484,22784,23086,23385,23683,23979,24273,24564,24853,25138,25419,25697
125,86035,Banda,128387,130004,131621,133238,134855,136473,138090,139707,141324,142941,145150,147385,149644,151927,154226,156539,158864,161193,163517,165828,168124,170401,172649,174867,177048
126,90035,Graneros,13063,13163,13263,13362,13462,13562,13662,13761,13861,13961,14093,14227,14361,14494,14627,14760,14892,15023,15155,15284,15412,15539,15663,15787,15909
127,22036,12 de Octubre,20149,20441,20733,21026,21318,21610,21902,22195,22487,22779,22813,22847,22881,22916,22950,22984,23017,23050,23083,23116,23147,23179,23209,23239,23268
